12,219,0.663594467,4,1,0,4.680365297,0
9,255,0.604743081,3,1,0,4.91372549,0
9,211,0.575129531,3,1,0,4.393364929,1
9,531,0.503787878,9,1,0,4.404896422,1
13,1072,0.415645617,19,20,0,4.682835821,0
10,370,0.559888578,2,0,0,4.359459459,0
8,960,0.418162618,21,20,0,4.654166667,0
12,989,0.433573635,20,20,0,4.617795753,0
11,97,0.670103086,2,0,0,4.855670103,1
10,231,0.636363634,4,1,1,5.090909091,0
9,1248,0.490049751,11,1,0,4.617788462,1
10,187,0.666666663,7,1,0,4.657754011,1
9,274,0.6091954,18,11,0,4.233576642,0
9,285,0.744186044,4,0,21,4.343859649,2
8,259,0.562753034,19,9,0,5.023166023,0
12,682,0.459541984,10,1,0,4.620234604,1
8,1118,0.512396694,26,12,1,4.703935599,3
8,397,0.624678662,11,1,0,5.445843829,1
11,103,0.689320382,3,1,0,4.844660194,2
8,1207,0.410579345,24,42,0,4.716652858,3
13,1248,0.390637611,21,20,0,4.686698718,1
9,391,0.510256409,9,1,1,5.296675192,0
11,1154,0.427304964,20,20,0,4.629982669,0
11,125,0.674796742,1,1,0,4.824,1
13,244,0.559999998,3,1,0,4.422131148,0
8,266,0.572580643,5,1,0,4.259398496,0
8,331,0.56269113,5,1,0,4.782477341,1
12,1225,0.385451505,22,28,0,4.635918367,1
10,243,0.619246859,1,0,0,4.382716049,0
11,723,0.490934448,18,1,0,5.228215768,0
8,708,0.48221906,8,1,1,4.620056497,1
10,633,0.476038338,2,19,0,4.985781991,1
14,290,0.611510789,0,14,0,4.068965517,0
10,597,0.531732418,5,1,0,4.343383585,0
8,204,0.586206894,7,1,0,4.671568627,1
11,315,0.55128205,4,1,0,4.380952381,0
10,1244,0.41754671,27,20,0,4.752411576,2
8,257,0.568093383,9,0,1,4.638132296,1
11,799,0.504391467,8,1,0,4.695869837,0
14,194,0.764705878,4,0,1,4.520618557,1
10,1036,0.429549902,21,20,0,4.727799228,1
6,174,0.691860461,0,1,0,4.798850575,0
14,1237,0.423770491,24,42,0,4.70331447,1
10,1081,0.428037383,19,20,0,4.652173913,1
9,1022,0.427427427,20,20,0,4.746575342,1
10,142,0.654676254,2,1,0,4.274647887,0
10,1190,0.408703071,25,20,0,4.620168067,0
12,161,0.668831164,5,0,6,4.453416149,1
11,1108,0.408592321,21,20,0,4.65433213,0
11,1089,0.418691588,20,20,0,4.694214876,1
11,214,0.64454976,2,0,1,4.654205607,1
9,944,0.433011789,21,20,0,4.706567797,0
9,1030,0.422244094,21,20,0,4.700970874,0
